"infinitive","participle_II","translation","mistakes"
"winden","hat gewunden","torcer",9
"wissen","hat gewusst","saber",8
"wollen","hat gewollt","querer",9
"wringen","hat gewrungen","escurrir",8
"zerstreiten wegen","-","pelearse por",1
"zerteilen in","-","dividir en",1
"ziehen","hat gezogen","tirar de, arrastrar, remolcar, estirar",10
"ziehen aus","hat gezogen","sacar de, arrancar de",11
"ziehen an/auf","hat gezogen","acercar (tirando)  a, arrimar a",11
"ziehen zu/nach","hat gezogen","caminar a, marchar a",11
"ziehen in","hat gezogen","entrar a/en",11
"ziehen durch","hat gezogen","atravesar, pasar por",10
"zielen auf","hat gezielt","apuntar a, referirse a, dirigirse a, tener como objetivo",1
"zubereiten","hat zubereitet","preparar, aderezar, guisar",11
"zurücktreten","ist zurückgetreten","retroceder, disminuir",1
"zurücktreten von","ist zurückgetreten","dimitir de, desistir de, renunciar a",1
"zusammenhängen","hat zusammengehängt","estar unido, estar conectado, estar relacionado",1
"zusammenhängen mit","hat zusammengehängt","tener relación con",1
"zuschießen","hat zugeschossen","tirar, lanzar, contribuir con",11
"zuschießen auf","hat zugeschossen","abalanzarse sobre, precipitarse",10
"zwingen zu","hat gezwungen","obligar a",11
"sich zwingen zu","hat gezwungen","obligarse a",10
